geoUnit,Country,year,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)"
ALB,Albania,2009,32.265407005434
ALB,Albania,2012,39.3350262222378
ALB,Albania,2015,46.7170264596949
ALB,Albania,2018,57.6271501529544
ALB,Albania,2022,26.05
ARE,United Arab Emirates,2011,42.4790771775346
ARE,United Arab Emirates,2015,46.4421344883369
ARE,United Arab Emirates,2019,50.1513694230018
ARE,United Arab Emirates,2023,55.01
ARG,Argentina,2006,35.8565197637113
ARG,Argentina,2009,36.445423370239
ARG,Argentina,2012,33.5150688814729
ARG,Argentina,2018,31.0328809294583
ARG,Argentina,2022,27.07
ARM,Armenia,2003,53.9679466334755
ARM,Armenia,2007,63.4883375455838
ARM,Armenia,2011,49.0175857996825
ARM,Armenia,2015,50.4072115124218
AUS,Australia,2003,85.657401519
AUS,Australia,2006,87.0328048919359
AUS,Australia,2009,84.126446807624
AUS,Australia,2012,80.3328543323183
AUS,Australia,2015,78.025527653664
AUS,Australia,2018,77.5668771091092
AUS,Australia,2022,73.65
AUT,Austria,2003,81.2301602698
AUT,Austria,2006,80.0000084514772
AUT,Austria,2009,76.760103237163
AUT,Austria,2012,81.3450714859684
AUT,Austria,2015,78.2486150484451
AUT,Austria,2018,78.9211225832498
AUT,Austria,2022,75.14
AZE,Azerbaijan,2006,89.464496944043
AZE,Azerbaijan,2009,54.725193889153
AZE,Azerbaijan,2022,38.11
BEL,Belgium,2003,83.5025267894
BEL,Belgium,2006,82.6561101216205
BEL,Belgium,2009,80.948820063373
BEL,Belgium,2012,81.0368100482486
BEL,Belgium,2015,79.9373388068242
BEL,Belgium,2018,80.3380743295051
BEL,Belgium,2022,75.05
BGR,Bulgaria,2006,46.7224560687151
BGR,Bulgaria,2009,52.879227512223
BGR,Bulgaria,2012,56.2434227230904
BGR,Bulgaria,2015,57.9265399165598
BGR,Bulgaria,2018,55.5871578951119
BGR,Bulgaria,2022,46.4
BHR,Bahrain,2003,17.12855627346
BHR,Bahrain,2007,18.7654292686154
BHR,Bahrain,2011,26.1933469482131
BHR,Bahrain,2015,39.4739547013951
BHR,Bahrain,2019,55.2517342092529
BHR,Bahrain,2023,30.41
BIH,Bosnia and Herzegovina,2018,42.4365892249964
BLR,Belarus,2018,70.637415544927
BRA,Brazil,2003,24.8314042012
BRA,Brazil,2006,27.4800714218258
BRA,Brazil,2009,30.880833326191
BRA,Brazil,2012,32.910910349082
BRA,Brazil,2015,29.7486315107459
BRA,Brazil,2018,31.9061334098968
BRA,Brazil,2022,26.62
BRN,Brunei Darussalam,2018,52.1317480900543
BRN,Brunei Darussalam,2022,58.11
CAN,Canada,2003,89.8796908165
CAN,Canada,2006,89.2133906478365
CAN,Canada,2009,88.523666716285
CAN,Canada,2012,86.1710535354883
CAN,Canada,2015,85.6372823787534
CAN,Canada,2018,83.7388112067514
CAN,Canada,2022,78.37
CHE,Switzerland,2003,85.4675047227
CHE,Switzerland,2006,86.4739793742953
CHE,Switzerland,2009,86.529380281219
CHE,Switzerland,2012,87.5572198733335
CHE,Switzerland,2015,84.2199129893416
CHE,Switzerland,2018,83.1719772296155
CHE,Switzerland,2022,80.55
CHL,Chile,2003,15.0117542403447
CHL,Chile,2011,22.9526307741394
CHL,Chile,2015,27.8921686789689
CHL,Chile,2019,32.5088185976979
CHL,Chile,2023,23.77
