geoUnit,Country,year,"Completion rate, upper secondary education, both sexes (modelled data) (%)"
AGO,Angola,2024,20.0
ALB,Albania,2024,88.2
ARG,Argentina,2024,65.7
ARM,Armenia,2024,90.3
AUS,Australia,2024,88.6
AUT,Austria,2024,85.9
AZE,Azerbaijan,2024,77.6
BDI,Burundi,2024,9.8
BEL,Belgium,2024,86.0
BEN,Benin,2024,20.6
BFA,Burkina Faso,2024,15.5
BGD,Bangladesh,2024,39.3
BGR,Bulgaria,2024,87.0
BIH,Bosnia and Herzegovina,2024,65.5
BLR,Belarus,2024,92.9
BOL,"Bolivia, Plurinational State of",2024,75.8
BRA,Brazil,2024,71.3
BRB,Barbados,2024,95.4
BTN,Bhutan,2024,74.5
BWA,Botswana,2024,63.9
CAF,Central African Republic,2024,9.1
CAN,Canada,2024,88.0
CHE,Switzerland,2024,92.7
CHL,Chile,2024,84.6
CHN,China,2024,88.1
CIV,Côte d'Ivoire,2024,16.3
CMR,Cameroon,2024,21.1
COD,"Congo, The Democratic Republic of the",2024,22.5
COG,Congo,2024,31.1
COL,Colombia,2024,66.7
COM,Comoros,2024,34.6
CRI,Costa Rica,2024,55.9
CUB,Cuba,2024,71.9
CYP,Cyprus,2024,92.9
CZE,Czechia,2024,90.1
DEU,Germany,2024,81.9
DJI,Djibouti,2024,33.7
DNK,Denmark,2024,76.2
DOM,Dominican Republic,2024,60.6
DZA,Algeria,2024,49.4
ECU,Ecuador,2024,76.0
EGY,Egypt,2024,87.6
ESP,Spain,2024,74.3
EST,Estonia,2024,85.2
ETH,Ethiopia,2024,15.2
FIN,Finland,2024,89.7
FJI,Fiji,2024,93.4
FRA,France,2024,87.4
GAB,Gabon,2024,22.4
GBR,United Kingdom,2024,90.0
GEO,Georgia,2024,92.5
GHA,Ghana,2024,45.2
GIN,Guinea,2024,24.9
GMB,Gambia,2024,33.1
GNB,Guinea-Bissau,2024,11.3
GNQ,Equatorial Guinea,2024,8.2
GRC,Greece,2024,94.9
GTM,Guatemala,2024,39.8
GUY,Guyana,2024,70.1
HND,Honduras,2024,51.7
HRV,Croatia,2024,98.1
HTI,Haiti,2024,19.5
HUN,Hungary,2024,86.1
IDN,Indonesia,2024,40.0
IND,India,2024,63.9
IRL,Ireland,2024,94.7
IRN,"Iran, Islamic Republic of",2024,74.3
IRQ,Iraq,2024,52.2
ISL,Iceland,2024,66.1
ISR,Israel,2024,92.9
ITA,Italy,2024,87.0
JAM,Jamaica,2024,95.5
JOR,Jordan,2024,67.6
KAZ,Kazakhstan,2024,99.0
KEN,Kenya,2024,37.4
KGZ,Kyrgyzstan,2024,93.1
KHM,Cambodia,2024,24.7
KIR,Kiribati,2024,20.8
KOR,"Korea, Republic of",2024,99.3
LAO,Lao People's Democratic Republic,2024,31.8
LBR,Liberia,2024,13.9
LCA,Saint Lucia,2024,92.8
LSO,Lesotho,2024,24.0
LTU,Lithuania,2024,91.7
LUX,Luxembourg,2024,81.0
LVA,Latvia,2024,86.9
MAR,Morocco,2024,26.5
MDA,"Moldova, Republic of",2024,81.0
MDG,Madagascar,2024,14.1
MDV,Maldives,2024,39.4
MEX,Mexico,2024,58.7
MKD,North Macedonia,2024,85.1
MLI,Mali,2024,12.1
MLT,Malta,2024,82.6
MMR,Myanmar,2024,23.8
MNE,Montenegro,2024,88.8
MNG,Mongolia,2024,92.2
MOZ,Mozambique,2024,8.3
MRT,Mauritania,2024,23.3
MUS,Mauritius,2024,60.4
MWI,Malawi,2024,15.7
MYS,Malaysia,2024,62.3
NAM,Namibia,2024,36.5
NER,Niger,2024,4.9
NGA,Nigeria,2024,64.0
NIC,Nicaragua,2024,38.3
NLD,Netherlands,2024,79.2
NOR,Norway,2024,80.9
NPL,Nepal,2024,50.4
NRU,Nauru,2024,82.1
PAK,Pakistan,2024,26.2
PAN,Panama,2024,63.9
PER,Peru,2024,86.2
PHL,Philippines,2024,72.6
PNG,Papua New Guinea,2024,15.1
POL,Poland,2024,91.5
PRT,Portugal,2024,82.3
PRY,Paraguay,2024,67.7
PSE,"Palestine, State of",2024,83.9
QAT,Qatar,2024,86.3
ROU,Romania,2024,81.4
RUS,Russian Federation,2024,91.4
RWA,Rwanda,2024,21.8
SDN,Sudan,2024,33.9
SEN,Senegal,2024,14.6
SLE,Sierra Leone,2024,14.1
SLV,El Salvador,2024,35.3
SOM,Somalia,2024,8.6
SRB,Serbia,2024,82.0
SSD,South Sudan,2024,2.0
STP,Sao Tome and Principe,2024,54.3
SUR,Suriname,2024,32.8
SVK,Slovakia,2024,93.2
SVN,Slovenia,2024,92.9
SWE,Sweden,2024,89.1
SYR,Syrian Arab Republic,2024,36.6
TCD,Chad,2024,6.4
TGO,Togo,2024,22.0
THA,Thailand,2024,71.2
TJK,Tajikistan,2024,79.1
TKM,Turkmenistan,2024,94.5
TLS,Timor-Leste,2024,55.6
TON,Tonga,2024,86.9
TTO,Trinidad and Tobago,2024,84.6
TUR,Turkey,2024,71.4
TUV,Tuvalu,2024,55.2
TZA,"Tanzania, United Republic of",2024,10.9
UGA,Uganda,2024,17.2
UKR,Ukraine,2024,97.1
URY,Uruguay,2024,43.7
USA,United States,2024,93.2
UZB,Uzbekistan,2024,98.8
VEN,"Venezuela, Bolivarian Republic of",2024,44.9
VNM,Viet Nam,2024,53.3
VUT,Vanuatu,2024,11.3
WSM,Samoa,2024,59.6
YEM,Yemen,2024,39.0
ZAF,South Africa,2024,50.9
ZMB,Zambia,2024,29.8
ZWE,Zimbabwe,2024,8.0
