geoUnit,year,Number of years of compulsory primary and secondary education guaranteed in legal frameworks
ABW,2000,0
ABW,2001,0
ABW,2002,0
ABW,2003,0
ABW,2004,0
ABW,2005,0
ABW,2006,0
ABW,2007,0
ABW,2008,0
ABW,2009,0
ABW,2010,0
ABW,2011,11
ABW,2012,11
ABW,2013,11
ABW,2014,11
ABW,2015,11
ABW,2016,11
ABW,2017,11
ABW,2018,11
ABW,2019,11
ABW,2020,11
ABW,2021,11
ABW,2022,11
ABW,2023,11
AFG,2000,6
AFG,2001,6
AFG,2002,6
AFG,2003,6
AFG,2004,6
AFG,2005,6
AFG,2006,6
AFG,2007,6
AFG,2008,9
AFG,2009,9
AFG,2010,9
AFG,2011,9
AFG,2012,9
AFG,2013,9
AFG,2014,9
AFG,2015,9
AFG,2016,9
AFG,2017,9
AFG,2018,9
AFG,2019,9
AFG,2020,9
AFG,2021,9
AFG,2022,9
AFG,2023,9
AFG,2024,9
AGO,2000,4
AGO,2001,4
AGO,2002,4
AGO,2003,4
AGO,2004,4
AGO,2005,4
AGO,2006,4
AGO,2007,6
AGO,2008,6
AGO,2009,6
AGO,2010,6
AGO,2011,6
AGO,2012,6
AGO,2013,6
AGO,2014,6
AGO,2015,6
AGO,2016,9
AGO,2017,9
AGO,2018,9
AGO,2019,9
AGO,2020,9
AGO,2021,9
AGO,2022,9
AGO,2023,9
AGO,2024,9
AIA,2000,12
AIA,2001,12
AIA,2002,12
AIA,2003,12
AIA,2004,12
AIA,2005,12
AIA,2006,12
AIA,2007,12
AIA,2008,12
AIA,2009,12
AIA,2010,12
AIA,2011,12
AIA,2012,12
AIA,2013,12
AIA,2014,12
AIA,2015,12
AIA,2016,12
AIA,2017,12
AIA,2018,12
AIA,2019,12
AIA,2020,12
AIA,2021,12
AIA,2022,12
AIA,2023,12
ALB,2000,8
ALB,2001,8
ALB,2002,8
ALB,2003,8
ALB,2004,8
ALB,2005,8
ALB,2006,8
ALB,2007,8
ALB,2008,8
ALB,2009,8
ALB,2010,8
ALB,2011,8
ALB,2012,9
ALB,2013,9
ALB,2014,9
ALB,2015,9
ALB,2016,9
ALB,2017,9
ALB,2021,9
ALB,2022,9
ALB,2023,9
ALB,2024,9
AND,2000,10
AND,2001,10
AND,2002,10
AND,2003,10
AND,2004,10
AND,2005,10
AND,2006,10
AND,2007,10
AND,2008,10
AND,2009,10
AND,2010,10
AND,2011,10
AND,2012,10
AND,2013,10
AND,2014,10
AND,2015,10
AND,2016,10
AND,2017,10
AND,2018,10
AND,2019,10
AND,2020,10
AND,2021,10
AND,2022,10
AND,2023,10
AND,2024,10
ARE,2000,6
ARE,2001,6
ARE,2002,6
ARE,2003,6
ARE,2004,6
ARE,2005,6
ARE,2006,6
ARE,2007,6
ARE,2008,6
ARE,2009,6
ARE,2010,6
ARE,2011,6
ARE,2012,12
ARE,2013,12
ARE,2014,12
ARE,2015,12
ARE,2016,12
ARE,2017,12
ARE,2018,12
ARE,2019,12
ARE,2020,12
ARE,2021,12
ARE,2022,12
ARE,2023,12
ARG,2000,9
ARG,2001,9
ARG,2002,9
ARG,2003,9
ARG,2004,9
ARG,2005,9
ARG,2006,12
ARG,2007,12
ARG,2008,12
ARG,2009,12
ARG,2010,12
ARG,2011,12
ARG,2012,12
ARG,2013,12
ARG,2014,12
ARG,2015,12
ARG,2016,12
ARG,2017,12
ARG,2018,12
ARG,2019,12
ARG,2020,12
ARG,2021,12
ARG,2022,12
ARG,2023,12
ARM,2000,10
ARM,2001,10
ARM,2002,10
ARM,2003,10
ARM,2004,10
ARM,2005,10
ARM,2006,10
ARM,2007,10
ARM,2008,10
ARM,2009,10
ARM,2010,10
ARM,2011,11
ARM,2012,12
ARM,2013,12
ARM,2014,12
ARM,2015,12
ARM,2016,12
ARM,2017,12
ARM,2018,12
ARM,2019,12
ARM,2020,12
ARM,2021,12
ARM,2022,12
ARM,2023,12
ARM,2024,12
ATG,2000,11
ATG,2001,11
ATG,2002,11
ATG,2003,11
ATG,2004,11
ATG,2005,11
ATG,2006,11
ATG,2007,11
ATG,2008,11
ATG,2009,11
ATG,2010,11
ATG,2011,11
ATG,2012,11
ATG,2013,11
ATG,2014,11
ATG,2015,11
ATG,2016,11
ATG,2017,11
ATG,2018,11
ATG,2019,11
ATG,2020,11
ATG,2021,11
ATG,2022,11
ATG,2023,11
AUS,2000,11
AUS,2001,11
AUS,2002,11
AUS,2003,11
AUS,2004,11
AUS,2005,11
AUS,2006,11
AUS,2007,11
AUS,2008,11
AUS,2009,11
AUS,2010,11
AUS,2011,11
AUS,2012,11
AUS,2013,11
AUS,2014,11
AUS,2015,11
AUS,2016,11
AUS,2017,11
AUS,2018,11
AUS,2019,11
AUS,2020,11
AUS,2021,11
AUS,2022,11
AUS,2023,11
AUS,2024,11
AUT,2000,9
AUT,2001,9
AUT,2002,9
AUT,2003,9
