geoUnit,year,Expenditure on education as a percentage of total government expenditure (%) (IMF calculation)
AFG,2003,12.80618054
AFG,2004,12.94665865
AFG,2005,15.08357833
AFG,2006,14.55921179
AFG,2007,10.81469207
AFG,2008,4.860585908
AFG,2009,6.492490184
AFG,2010,6.395579806
AFG,2011,5.14692145
AFG,2012,6.489447742
AFG,2013,7.132067481
AFG,2014,7.96457024
AFG,2015,7.284905109
AFG,2016,8.260236207
AFG,2017,8.202472063
AGO,2000,9.466756878
AGO,2001,9.433632111
AGO,2002,8.322753326
AGO,2003,6.527705646
AGO,2004,10.83333599
AGO,2005,7.263657382
AGO,2006,7.60743609
AGO,2007,9.284569801
AGO,2008,7.513767562
AGO,2009,9.419737868
AGO,2010,8.3411724
AGO,2011,8.935192201
AGO,2012,9.791394904
AGO,2013,9.447771504
AGO,2014,6.852259747
AGO,2015,12.10088877
AGO,2016,10.82170107
AGO,2017,8.760296857
AGO,2018,8.23010263
AGO,2019,10.79580947
ALB,2002,2.507370043
ALB,2003,3.673854848
ALB,2004,3.994813773
ALB,2005,11.37165088
ALB,2006,10.76798596
ALB,2007,11.07501755
ALB,2008,10.79070872
ALB,2010,11.48573445
ALB,2011,11.10684336
ALB,2012,11.62699494
ALB,2013,11.58003275
ALB,2014,10.98846028
ALB,2015,10.4410241
ALB,2016,10.82978737
ALB,2017,10.57019058
ALB,2018,10.97069675
ALB,2019,11.40018018
ALB,2020,10.13438364
ALB,2021,9.833778124
ALB,2022,9.796485724
ALB,2023,10.05177164
AND,2018,9.930040672
AND,2019,9.890914097
AND,2020,9.437000275
AND,2021,9.324459751
AND,2022,8.436221444
AND,2023,8.180802313
ARG,2000,6.28246521
ARG,2001,5.72094216
ARG,2002,4.010560744
ARG,2003,4.546417107
ARG,2004,5.194731323
ARG,2014,6.163173698
ARG,2015,6.528736443
ARG,2016,5.818444197
ARG,2017,6.149153799
ARG,2018,5.50610967
ARG,2019,4.78990154
ARG,2020,4.409003261
ARG,2021,5.19304909
ARG,2022,5.595777822
ARM,2010,10.24713469
ARM,2011,10.75357422
ARM,2012,10.2160819
ARM,2013,8.749750844
ARM,2014,9.376602097
ARM,2015,8.866694501
ARM,2016,8.447907228
ARM,2017,8.891125988
ARM,2018,8.988577026
ARM,2019,10.00509266
ARM,2020,9.572379842
ARM,2021,9.667304103
ARM,2022,9.702664116
ARM,2023,9.961885738
AUS,2000,14.42712517
AUS,2001,15.16472849
AUS,2002,15.55063289
AUS,2003,15.61610031
