geoUnit,year,"Proportion of children/young people at the age of lower secondary education prepared for the future in reading, both sexes (%)"
ALB,2000,28.18530082702640
ALB,2009,41.5118293762207
ALB,2012,45.80564117431640
ALB,2015,47.88299179077150
ALB,2018,46.09255981445310
ALB,2022,25.44872093200680
ARG,2000,41.28960037231450
ARG,2006,33.20320129394530
ARG,2009,37.57429885864260
ARG,2012,35.05860137939450
ARG,2018,35.62543106079100
ARG,2022,34.48141860961910
AUS,2000,84.35880279541020
AUS,2003,85.3359375
AUS,2006,84.1790771484375
AUS,2009,83.60661315917970
AUS,2012,83.91976928710940
AUS,2015,80.29387664794920
AUS,2018,79.0866470336914
AUS,2022,77.78546905517580
AUT,2000,84.78820037841800
AUT,2003,78.82093811035160
AUT,2006,77.85542297363280
AUT,2009,71.77188110351560
AUT,2012,79.46315002441410
AUT,2015,76.2984390258789
AUT,2018,75.07833862304690
AUT,2022,73.44976043701170
AZE,2006,18.89701080322270
AZE,2009,25.22500991821290
AZE,2022,29.48303985595700
BEL,2000,64.63909912109380
BEL,2003,66.19452667236330
BEL,2006,65.52613067626950
BEL,2009,67.78009796142580
BEL,2012,70.41185760498050
BEL,2015,70.1658935546875
BEL,2018,70.4781494140625
BEL,2022,67.92957305908200
BGR,2000,54.80459976196290
BGR,2006,44.96469116210940
BGR,2009,54.52769088745120
BGR,2012,56.42713928222660
BGR,2015,54.72605895996090
BGR,2018,49.61756896972660
BGR,2022,44.34933090209960
BIH,2018,45.5837287902832
BLR,2018,75.74725341796880
BRA,2000,27.77610015869140
BRA,2003,33.49958038330080
BRA,2006,31.37014007568360
BRA,2009,36.57144927978520
BRA,2012,38.05561828613280
BRA,2015,38.66724014282230
BRA,2018,41.53828048706060
BRA,2022,43.20420074462890
CAN,2000,88.78050231933590
CAN,2003,88.83228302001950
CAN,2006,87.6194076538086
CAN,2009,88.45497131347660
CAN,2012,87.94683837890630
CAN,2015,88.24659729003910
CAN,2018,85.30094146728520
CAN,2022,81.11334991455080
CHE,2000,77.53040313720700
CHE,2003,81.40773010253910
CHE,2006,81.7989501953125
CHE,2009,81.6131362915039
CHE,2012,84.83867645263670
CHE,2015,78.74234008789060
CHE,2018,75.29682159423830
CHE,2022,74.4000473022461
CHL,2000,46.96950149536130
CHL,2006,60.23501968383790
CHL,2009,66.10444641113280
CHL,2012,64.17131042480470
CHL,2015,68.67915344238280
CHL,2018,65.68444061279300
CHL,2022,64.21562957763670
COL,2006,30.56525993347170
COL,2009,38.92378997802730
COL,2012,37.24100112915040
COL,2015,44.18505096435550
COL,2018,38.87516021728520
COL,2022,38.79077911376950
CRI,2009,40.7636604309082
CRI,2012,42.59891128540040
CRI,2015,39.81562042236330
CRI,2018,40.45050048828130
CRI,2022,38.26839065551760
CYP,2012,64.2816162109375
CYP,2015,61.28163909912110
CYP,2018,53.13973999023440
CYP,2022,37.19359970092770
CZE,2000,79.19999694824220
CZE,2003,77.37896728515630
CZE,2006,72.21558380126950
CZE,2009,73.86752319335940
CZE,2012,79.7256088256836
CZE,2015,74.70172119140630
CZE,2018,75.85135650634770
CZE,2022,75.4349365234375
DEU,2000,71.11599731445310
DEU,2003,71.68276977539060
DEU,2006,73.89704895019530
DEU,2009,75.41828155517580
DEU,2012,78.75377655029300
DEU,2015,76.988037109375
DEU,2018,72.8904037475586
DEU,2022,68.83799743652340
DNK,2000,81.77159881591800
DNK,2003,83.14491271972660
DNK,2006,83.64983367919920
DNK,2009,84.44291687011720
DNK,2012,85.01435852050780
DNK,2015,84.66436767578130
DNK,2018,83.66446685791020
DNK,2022,80.78691101074220
DOM,2015,23.29475975036620
DOM,2018,18.11360931396480
DOM,2022,21.95886993408200
DZA,2015,13.01795959472660
ECU,2017,44.18119812011720
ESP,2000,73.24120330810550
ESP,2003,68.32200622558590
ESP,2006,64.07343292236330
ESP,2009,69.98332977294920
ESP,2012,73.00137329101560
ESP,2015,77.0625228881836
ESP,2022,71.72541809082030
EST,2006,82.99138641357420
EST,2009,83.37399291992190
EST,2012,87.60440063476560
EST,2015,86.23370361328130
EST,2018,86.01051330566410
EST,2022,83.51811218261720
FIN,2000,92.6344985961914
FIN,2003,93.92001342773440
FIN,2006,94.80909729003910
FIN,2009,91.52371215820310
FIN,2012,88.29593658447270
FIN,2015,88.5528793334961
FIN,2018,86.10964965820310
FIN,2022,78.3442611694336
FRA,2000,81.49281311035160
FRA,2003,79.26815032958980
FRA,2006,75.53294372558590
FRA,2009,77.67991638183590
FRA,2012,78.81311798095700
FRA,2015,76.7081069946289
FRA,2018,77.48149871826170
FRA,2022,71.88678741455080
GBR,2000,86.75160217285160
GBR,2003,84.76219940185550
GBR,2006,80.73700714111330
GBR,2009,81.31481170654300
GBR,2012,83.12522888183590
GBR,2015,81.87210845947270
GBR,2018,82.5315170288086
GBR,2022,79.78014373779300
GEO,2009,37.30382919311520
GEO,2015,47.6168212890625
GEO,2018,35.125
GEO,2022,32.67956924438480
GRC,2000,68.81128692626950
GRC,2003,68.53640747070310
GRC,2006,67.03472137451170
GRC,2009,73.80029296875
GRC,2012,73.4265365600586
GRC,2015,69.26673889160160
GRC,2018,66.14895629882810
GRC,2022,59.75046157836910
GTM,2017,15.09335994720460
GTM,2022,17.45820999145510
HND,2017,17.55145072937010
HRV,2006,76.8099365234375
HRV,2009,76.16845703125
HRV,2012,80.0831069946289
HRV,2015,78.93211364746090
HRV,2018,77.24484252929690
HRV,2022,76.24738311767580
HUN,2000,73.76219940185550
HUN,2003,75.73719024658200
HUN,2006,75.70832824707030
HUN,2009,78.81976318359380
HUN,2012,77.06775665283200
HUN,2015,69.62158966064450
HUN,2018,71.4381103515625
HUN,2022,70.9136962890625
IDN,2000,19.62509918212890
IDN,2003,24.69573020935060
IDN,2006,29.35807991027830
IDN,2009,34.28147888183590
IDN,2012,35.53474044799810
IDN,2015,37.57081985473630
IDN,2018,26.39044952392580
IDN,2022,22.86307907104490
IRL,2000,86.0551986694336
IRL,2003,86.29907989501950
IRL,2006,85.49124145507810
IRL,2009,80.84754943847660
IRL,2012,88.6919174194336
IRL,2015,88.19235229492190
IRL,2018,86.78943634033200
IRL,2022,87.32015991210940
ISL,2000,84.4739990234375
ISL,2003,80.52471160888670
ISL,2006,78.58265686035160
ISL,2009,82.26471710205080
ISL,2012,78.1355209350586
ISL,2015,77.0541763305664
ISL,2018,72.83402252197270
